n,title,application_url,source_url,organization,country,source_name,application_status,record_type
27,Chevening Scholarship — Sierra Leone,https://www.chevening.org/scholarship/sierra-leone,https://www.chevening.org/scholarship/sierra-leone,Chevening / UK Government,Sierra Leone,CURATED_LEAF,open,scholarship
28,Chevening Scholarship — South Africa,https://www.chevening.org/scholarship/south-africa,https://www.chevening.org/scholarship/south-africa,Chevening / UK Government,South Africa,CURATED_LEAF,open,scholarship
29,Chevening Scholarship — Sudan,https://www.chevening.org/scholarship/sudan,https://www.chevening.org/scholarship/sudan,Chevening / UK Government,Sudan,CURATED_LEAF,open,scholarship
30,Chevening Scholarship — Tanzania,https://www.chevening.org/scholarship/tanzania,https://www.chevening.org/scholarship/tanzania,Chevening / UK Government,Tanzania,CURATED_LEAF,open,scholarship
31,Chevening Scholarship — Uganda,https://www.chevening.org/scholarship/uganda,https://www.chevening.org/scholarship/uganda,Chevening / UK Government,Uganda,CURATED_LEAF,open,scholarship
32,Chevening Scholarship — Zambia,https://www.chevening.org/scholarship/zambia,https://www.chevening.org/scholarship/zambia,Chevening / UK Government,Zambia,CURATED_LEAF,open,scholarship
33,Chevening Scholarship 2027/28,https://www.chevening.org/scholarships/,https://www.chevening.org/scholarships/,UK Government,United Kingdom,Chevening,open,scholarship
34,CIFAR Azrieli Global Scholars Program,https://cifar.ca/cifar-global-scholars/,https://cifar.ca/cifar-global-scholars/,Canadian Institute for Advanced Research (CIFAR),Canada,EDUCANADA_CURATED,open,scholarship
35,CIHR Fellowship,https://cihr-irsc.gc.ca/f/493.html,https://cihr-irsc.gc.ca/f/493.html,Canadian Institutes of Health Research (CIHR),Canada,EDUCANADA_CURATED,open,scholarship
36,Clark University Global Scholars Program Scholarship,https://www.clarku.edu/financial-aid/prospective-students/international-students/faqs,https://www.clarku.edu/financial-aid/prospective-students/international-students/faqs,Clark University,United States,CURATED_LEAF,open,scholarship
37,Commerce Global Scholarship,https://scholarships.unimelb.edu.au/awards/bachelor-of-commerce-global-scholarship/,https://scholarships.unimelb.edu.au/awards/bachelor-of-commerce-global-scholarship/,University of Melbourne,Australia,University of Melbourne,open,scholarship
38,Commerce Undergraduate International Merit Scholarships,https://scholarships.unimelb.edu.au/awards/international-undergraduate-merit-scholarships/,https://scholarships.unimelb.edu.au/awards/international-undergraduate-merit-scholarships/,University of Melbourne,Australia,University of Melbourne,open,scholarship
39,"Commonwealth Distance Learning — MA Human Rights (School of Advanced Study, University of London)",https://www.london.ac.uk/study/courses/postgraduate/ma-human-rights,https://www.london.ac.uk/study/courses/postgraduate/ma-human-rights,"School of Advanced Study, University of London",United Kingdom,CURATED_LEAF,open,scholarship
40,Commonwealth Distance Learning — MA Journalism (University of Portsmouth),https://www.port.ac.uk/study/courses/postgraduate-taught/ma-journalism,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-journalism,University of Portsmouth,United Kingdom,CURATED_LEAF,open,scholarship
41,Commonwealth Distance Learning — MA Online Teaching (Open University),https://www.open.ac.uk/postgraduate/qualifications/f98,https://www.open.ac.uk/postgraduate/qualifications/f98,Open University,United Kingdom,CURATED_LEAF,open,scholarship
42,Commonwealth Distance Learning — MPH Public Health (Global Health) (University of Liverpool),https://online.liverpool.ac.uk/programmes/master-of-public-health-online-global-health,https://online.liverpool.ac.uk/programmes/master-of-public-health-online-global-health,University of Liverpool,United Kingdom,CURATED_LEAF,open,scholarship
43,Commonwealth Distance Learning — MPH Public Health (Global Mental Health) (University of Liverpool),https://online.liverpool.ac.uk/programmes/master-of-public-health-global-mental-health,https://online.liverpool.ac.uk/programmes/master-of-public-health-global-mental-health,University of Liverpool,United Kingdom,CURATED_LEAF,open,scholarship
44,Commonwealth Distance Learning — MPH Public Health (Health Economics and Policy) (University of Liverpool),https://online.liverpool.ac.uk/programmes/master-of-public-health-health-economics-and-policy,https://online.liverpool.ac.uk/programmes/master-of-public-health-health-economics-and-policy,University of Liverpool,United Kingdom,CURATED_LEAF,open,scholarship
45,Commonwealth Distance Learning — MPH Public Health (Imperial College London),https://www.imperial.ac.uk/study/courses/postgraduate-taught/mph-online,https://www.imperial.ac.uk/study/courses/postgraduate-taught/mph-online,Imperial College London,United Kingdom,CURATED_LEAF,open,scholarship
46,Commonwealth Distance Learning — MPH Public Health (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/886-public-health-part-time-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/886-public-health-part-time-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
47,Commonwealth Distance Learning — MPH Public Health (University of Liverpool),https://online.liverpool.ac.uk/programmes/master-of-public-health,https://online.liverpool.ac.uk/programmes/master-of-public-health,University of Liverpool,United Kingdom,CURATED_LEAF,open,scholarship
48,Commonwealth Distance Learning — MSc Agroforestry and Food Security (Bangor University),https://www.bangor.ac.uk/courses/postgraduate-taught/agroforestry-and-food-security-msc-msc,https://www.bangor.ac.uk/courses/postgraduate-taught/agroforestry-and-food-security-msc-msc,Bangor University,United Kingdom,CURATED_LEAF,open,scholarship
49,Commonwealth Distance Learning — MSc Applied Conservation Genetics with Wildlife Forensics (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/954-applied-conservation-genetics-with-wildlife-forensics-online,https://study.ed.ac.uk/programmes/postgraduate-taught/954-applied-conservation-genetics-with-wildlife-forensics-online,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
50,"Commonwealth Distance Learning — MSc Biodiversity, Wildlife and Ecosystem Health (University of Edinburgh)",https://study.ed.ac.uk/programmes/postgraduate-taught/646-biodiversity-wildlife-and-ecosystem-health-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/646-biodiversity-wildlife-and-ecosystem-health-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
51,Commonwealth Distance Learning — MSc Climate Change Management (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/899-climate-change-management-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/899-climate-change-management-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
52,Commonwealth Distance Learning — MSc Clinical Management of Pain (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/820-clinical-management-of-pain-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/820-clinical-management-of-pain-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
53,Commonwealth Distance Learning — MSc Clinical Trials (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/809-clinical-trials-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/809-clinical-trials-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
54,Commonwealth Distance Learning — MSc Conservation Medicine (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/786-conservation-medicine-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/786-conservation-medicine-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
55,Commonwealth Distance Learning — MSc Construction Project Management (Heriot-Watt University),https://www.hw.ac.uk/online/study/postgraduate/construction-project-management,https://www.hw.ac.uk/online/study/postgraduate/construction-project-management,Heriot-Watt University,United Kingdom,CURATED_LEAF,open,scholarship
56,Commonwealth Distance Learning — MSc Critical Care (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/975-critical-care-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/975-critical-care-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
57,Commonwealth Distance Learning — MSc Data Science for Health and Social Care (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/1041-data-science-for-health-and-social-care-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/1041-data-science-for-health-and-social-care-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
58,Commonwealth Distance Learning — MSc Data-Driven Breeding and Genetics (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/1134-data-driven-breeding-and-genetics-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/1134-data-driven-breeding-and-genetics-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
59,Commonwealth Distance Learning — MSc Dementia Studies (University of Stirling),https://www.stir.ac.uk/courses/pg-taught/dementia-studies-online,https://www.stir.ac.uk/courses/pg-taught/dementia-studies-online,University of Stirling,United Kingdom,CURATED_LEAF,open,scholarship
60,"Commonwealth Distance Learning — MSc Disability Studies, Rights and Inclusion (University of Leeds)",https://www.leeds.ac.uk/homepage/275/online-masters-and-postgraduate-courses-in-disability-studies-rights-and-inclusion,https://www.leeds.ac.uk/homepage/275/online-masters-and-postgraduate-courses-in-disability-studies-rights-and-inclusion,University of Leeds,United Kingdom,CURATED_LEAF,open,scholarship
61,Commonwealth Distance Learning — MSc Economic Crime (University of Portsmouth),https://www.port.ac.uk/study/courses/postgraduate-taught/msc-economic-crime,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-economic-crime,University of Portsmouth,United Kingdom,CURATED_LEAF,open,scholarship
62,Commonwealth Distance Learning — MSc Environmental Management (Open University),https://www.open.ac.uk/postgraduate/qualifications/f65,https://www.open.ac.uk/postgraduate/qualifications/f65,Open University,United Kingdom,CURATED_LEAF,open,scholarship
63,Commonwealth Distance Learning — MSc Epidemiology (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/1042-epidemiology-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/1042-epidemiology-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
64,Commonwealth Distance Learning — MSc Gerontology (University of Southampton),https://www.southampton.ac.uk/courses/gerontology-distance-learning-masters-msc,https://www.southampton.ac.uk/courses/gerontology-distance-learning-masters-msc,University of Southampton,United Kingdom,CURATED_LEAF,open,scholarship
65,Commonwealth Distance Learning — MSc Global Ageing and Policy (University of Southampton),https://www.southampton.ac.uk/courses/global-ageing-policy-distance-learning-masters-msc,https://www.southampton.ac.uk/courses/global-ageing-policy-distance-learning-masters-msc,University of Southampton,United Kingdom,CURATED_LEAF,open,scholarship
66,Commonwealth Distance Learning — MSc Global Central Banking and Financial Regulation (University of Warwick),https://www.wbs.ac.uk/courses/masters/global-central-banking-and-financial-regulation,https://www.wbs.ac.uk/courses/masters/global-central-banking-and-financial-regulation,University of Warwick,United Kingdom,CURATED_LEAF,open,scholarship
67,Commonwealth Distance Learning — MSc Global Development (Open University),https://www.open.ac.uk/postgraduate/qualifications/f86,https://www.open.ac.uk/postgraduate/qualifications/f86,Open University,United Kingdom,CURATED_LEAF,open,scholarship
68,Commonwealth Distance Learning — MSc Global Food Security and Nutrition (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/959-global-food-security-and-nutrition-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/959-global-food-security-and-nutrition-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
69,Commonwealth Distance Learning — MSc Global Health (Liverpool School of Tropical Medicine),https://www.lstmed.ac.uk/study/courses/msc-pgdip-pgcert-global-health,https://www.lstmed.ac.uk/study/courses/msc-pgdip-pgcert-global-health,Liverpool School of Tropical Medicine,United Kingdom,CURATED_LEAF,open,scholarship
70,Commonwealth Distance Learning — MSc Global Health and Infectious Diseases (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/413-global-health-and-infectious-diseases-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/413-global-health-and-infectious-diseases-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
71,Commonwealth Distance Learning — MSc Healthcare Leadership (Lancaster University),https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/healthcare-leadership-msc/2025,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/healthcare-leadership-msc/2025,Lancaster University,United Kingdom,CURATED_LEAF,open,scholarship
72,Commonwealth Distance Learning — MSc Hydrogeology (University of Strathclyde),https://www.strath.ac.uk/courses/postgraduatetaught/hydrogeology,https://www.strath.ac.uk/courses/postgraduatetaught/hydrogeology,University of Strathclyde,United Kingdom,CURATED_LEAF,open,scholarship
73,Commonwealth Distance Learning — MSc Internal Medicine (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/692-internal-medicine-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/692-internal-medicine-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
74,Commonwealth Distance Learning — MSc International Animal Health (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/241-international-animal-health-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/241-international-animal-health-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
75,Commonwealth Distance Learning — MSc International Human Rights Law (University of Oxford),https://www.ox.ac.uk/admissions/graduate/courses/msc-international-human-rights-law,https://www.ox.ac.uk/admissions/graduate/courses/msc-international-human-rights-law,University of Oxford,United Kingdom,CURATED_LEAF,open,scholarship
76,Commonwealth Distance Learning — MSc International Humanitarian Affairs (University of York),https://www.york.ac.uk/study/postgraduate-taught/courses/msc-international-humanitarian-affairs-online,https://www.york.ac.uk/study/postgraduate-taught/courses/msc-international-humanitarian-affairs-online,University of York,United Kingdom,CURATED_LEAF,open,scholarship
77,Commonwealth Distance Learning — MSc One Health (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/814-one-health-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/814-one-health-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
78,Commonwealth Distance Learning — MSc Patient Safety and Clinical Human Factors (University of Edinburgh),https://study.ed.ac.uk/programmes/postgraduate-taught/962-patient-safety-and-clinical-human-factors-online-learning,https://study.ed.ac.uk/programmes/postgraduate-taught/962-patient-safety-and-clinical-human-factors-online-learning,University of Edinburgh,United Kingdom,CURATED_LEAF,open,scholarship
79,Commonwealth Distance Learning — MSc Rehabilitation Studies (University of Strathclyde),https://www.strath.ac.uk/courses/postgraduatetaught/prostheticsorthoticsrehabilitationstudies,https://www.strath.ac.uk/courses/postgraduatetaught/prostheticsorthoticsrehabilitationstudies,University of Strathclyde,United Kingdom,CURATED_LEAF,open,scholarship
80,Commonwealth Distance Learning — MSc Renewable and Sustainable Energy Transition (Heriot-Watt University),https://www.hw.ac.uk/study/postgraduate/renewable-sustainable-energy-transition,https://www.hw.ac.uk/study/postgraduate/renewable-sustainable-energy-transition,Heriot-Watt University,United Kingdom,CURATED_LEAF,open,scholarship
81,Commonwealth Distance Learning — MSc Responsible Tourism Management (Leeds Beckett University),https://www.leedsbeckett.ac.uk/courses/responsible-tourism-management-msc,https://www.leedsbeckett.ac.uk/courses/responsible-tourism-management-msc,Leeds Beckett University,United Kingdom,CURATED_LEAF,open,scholarship
82,Commonwealth Distance Learning — MSc Sustainability (Cranfield University),https://www.cranfield.ac.uk/sustainabilitymsc,https://www.cranfield.ac.uk/sustainabilitymsc,Cranfield University,United Kingdom,CURATED_LEAF,open,scholarship
83,Commonwealth Distance Learning — MSc Sustainable Aquaculture (University of St Andrews),https://www.st-andrews.ac.uk/subjects/marine-biology/sustainable-aquaculture,https://www.st-andrews.ac.uk/subjects/marine-biology/sustainable-aquaculture,University of St Andrews,United Kingdom,CURATED_LEAF,open,scholarship
84,Commonwealth Distance Learning — MSc Sustainable Development (University of Sussex),https://study-online.sussex.ac.uk/online-courses/sustainable-development-msc,https://study-online.sussex.ac.uk/online-courses/sustainable-development-msc,University of Sussex,United Kingdom,CURATED_LEAF,open,scholarship
85,Commonwealth Distance Learning — MSc Tropical Forestry (Bangor University),https://www.bangor.ac.uk/courses/postgraduate-taught/tropical-forestry-msc-msc,https://www.bangor.ac.uk/courses/postgraduate-taught/tropical-forestry-msc-msc,Bangor University,United Kingdom,CURATED_LEAF,open,scholarship
86,Commonwealth Distance Learning — MSc Water Engineering for Development (Loughborough University),https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/water-engineering-development-distance,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/water-engineering-development-distance,Loughborough University,United Kingdom,CURATED_LEAF,open,scholarship
87,Commonwealth Distance Learning — MSc Water Management for Development (Loughborough University),https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/water-management-development-distance-learning-pt,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/water-management-development-distance-learning-pt,Loughborough University,United Kingdom,CURATED_LEAF,open,scholarship
88,Commonwealth Master's Scholarship — Ethiopia (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-ethiopia,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-ethiopia,Ministry of Education — Ethiopia (Foreign Study Programmes),Ethiopia,CURATED_LEAF,open,scholarship
89,Commonwealth Master's Scholarship — Ghana (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-ghana,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-ghana,Ministry of Education — Ghana,Ghana,CURATED_LEAF,open,scholarship
90,Commonwealth Master's Scholarship — Kenya (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-kenya,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-kenya,Ministry of Education — Kenya,Kenya,CURATED_LEAF,open,scholarship
91,Commonwealth Master's Scholarship — Malawi (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-malawi,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-malawi,Ministry of Education — Malawi,Malawi,CURATED_LEAF,open,scholarship
92,Commonwealth Master's Scholarship — Nigeria (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-nigeria,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-nigeria,Federal Scholarships Board — Nigeria,Nigeria,CURATED_LEAF,open,scholarship
93,Commonwealth Master's Scholarship — Rwanda (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-rwanda,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-rwanda,Ministry of Education — Rwanda,Rwanda,CURATED_LEAF,open,scholarship
94,Commonwealth Master's Scholarship — South Africa (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-south-africa,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-south-africa,Department of Higher Education — South Africa,South Africa,CURATED_LEAF,open,scholarship
95,Commonwealth Master's Scholarship — Tanzania (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-tanzania,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-tanzania,"Ministry of Education, Science and Technology — Tanzania",Tanzania,CURATED_LEAF,open,scholarship
96,Commonwealth Master's Scholarship — Uganda (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-uganda,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-uganda,Ministry of Education and Sports — Uganda,Uganda,CURATED_LEAF,open,scholarship
97,Commonwealth Master's Scholarship — Zambia (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-zambia,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships#nominator-zambia,Ministry of Education — Zambia,Zambia,CURATED_LEAF,open,scholarship
98,Commonwealth PhD Scholarship — Ethiopia (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-ethiopia,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-ethiopia,Ministry of Education — Ethiopia (Foreign Study Programmes),Ethiopia,CURATED_LEAF,open,scholarship
99,Commonwealth PhD Scholarship — Ghana (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-ghana,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-ghana,Ministry of Education — Ghana,Ghana,CURATED_LEAF,open,scholarship
100,Commonwealth PhD Scholarship — Kenya (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-kenya,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-kenya,Ministry of Education — Kenya,Kenya,CURATED_LEAF,open,scholarship
101,Commonwealth PhD Scholarship — Malawi (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-malawi,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-malawi,Ministry of Education — Malawi,Malawi,CURATED_LEAF,open,scholarship
102,Commonwealth PhD Scholarship — Nigeria (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-nigeria,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-nigeria,Federal Scholarships Board — Nigeria,Nigeria,CURATED_LEAF,open,scholarship
103,Commonwealth PhD Scholarship — Rwanda (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-rwanda,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-rwanda,Ministry of Education — Rwanda,Rwanda,CURATED_LEAF,open,scholarship
104,Commonwealth PhD Scholarship — South Africa (via national nominator),https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-south-africa,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-vulnerable-states#nominator-south-africa,Department of Higher Education — South Africa,South Africa,CURATED_LEAF,open,scholarship
